Ga0453162|Ga0453162_0000189 E Predicted Eukaryotic  rRNA (1488 bp) From domain V5r to V5r on main strand	k:Eukaryota(0.5100),d:TSAR(0.1122),p:Stramenopiles-Gyrista(0.0112),c:Bacillariophyceae(0.0009),o:Bacillariales(0.0001),f:Bacillariaceae(0.0000),g:Fragilariopsis(0.0000),s:Fragilariopsis_kerguelensis(0.0000)	+	
Ga0453162|Ga0453162_0000925 E Predicted Eukaryotic  rRNA (2041 bp) From domain V5r to V5r on main strand	k:Eukaryota:plas(1.0000),d:TSAR:plas(1.0000),p:Stramenopiles:plas-Gyrista:plas(1.0000),c:Bacillariophyceae:plas(0.9200),o:Licmophorales:plas(0.7268),f:Ulnariaceae:plas(0.5742),g:Ulnaria:plas(0.4536),s:Ulnaria_acus:plas(0.3583)	+	k:Eukaryota:plas,d:TSAR:plas,p:Stramenopiles:plas-Gyrista:plas,c:Bacillariophyceae:plas
Ga0453162|Ga0453162_0000076 E Predicted Eukaryotic  rRNA (2041 bp) From domain V5r to V5r on main strand	k:Eukaryota:plas(1.0000),d:TSAR:plas(1.0000),p:Stramenopiles:plas-Gyrista:plas(1.0000),c:Mediophyceae:plas(0.8900),o:Thalassiosirales:plas(0.6319),f:Thalassiosiraceae:plas(0.3096),g:Thalassiosira:plas(0.1455),s:Thalassiosira_pseudonana:plas(0.0378)	+	k:Eukaryota:plas,d:TSAR:plas,p:Stramenopiles:plas-Gyrista:plas,c:Mediophyceae:plas
Ga0453162|Ga0453162_0000202 E Predicted Eukaryotic  rRNA (2039 bp) From domain V5r to V5r on complementary strand	k:Eukaryota(0.5700),d:TSAR(0.1653),p:Stramenopiles-Gyrista(0.0198),c:Bacillariophyceae(0.0018),o:Bacillariales(0.0002),f:Bacillariaceae(0.0000),g:Fragilariopsis(0.0000),s:Fragilariopsis_kerguelensis(0.0000)	+	
Ga0453162|Ga0453162_0001228 E Predicted Eukaryotic  rRNA (1635 bp) From domain V5r to V5r on main strand	k:Bacteria(0.9800),d:FCB(0.9310),p:Bacteroidetes-Bacteroidetes_X(0.8844),c:Bacteroidia(0.8402),o:Flavobacteriales(0.3697),f:Cryomorphaceae(0.0444),g:Phaeocystidibacter(0.0044),s:Phaeocystidibacter_sp.(0.0004)	+	k:Bacteria,d:FCB,p:Bacteroidetes-Bacteroidetes_X,c:Bacteroidia
Ga0453162|Ga0453162_0001848 E Predicted Eukaryotic  rRNA (2041 bp) From domain V5r to V5r on complementary strand	k:Bacteria(0.8600),d:PANNAM(0.6966),p:Proteobacteria-Proteobacteria_X(0.5503),c:Deltaproteobacteria(0.2146),o:Myxococcales(0.0215),f:P3OB42(0.0009),g:P3OB42_X(0.0000),s:P3OB42_X_sp.(0.0000)	+	k:Bacteria
Ga0453162|Ga0453162_0002071 E Predicted Eukaryotic  rRNA (2041 bp) From domain V5r to V5r on complementary strand	k:Bacteria(0.9000),d:PANNAM(0.6750),p:Proteobacteria-Proteobacteria_X(0.4995),c:Deltaproteobacteria(0.3047),o:Desulfobacterales(0.0731),f:Desulfobacteraceae(0.0117),g:SEEPSRB1(0.0006),s:SEEPSRB1_sp.(0.0000)	+	k:Bacteria
Ga0453162|Ga0453162_0002205 E Predicted Eukaryotic  rRNA (1348 bp) From domain V5r to V5r on main strand	k:Bacteria(1.0000),d:PANNAM(1.0000),p:Proteobacteria-Proteobacteria_X(1.0000),c:Alphaproteobacteria(1.0000),o:Reyranellales(1.0000),f:Reyranellaceae(1.0000),g:Reyranella(1.0000),s:Reyranella_sp.(1.0000)	+	k:Bacteria,d:PANNAM,p:Proteobacteria-Proteobacteria_X,c:Alphaproteobacteria,o:Reyranellales,f:Reyranellaceae,g:Reyranella,s:Reyranella_sp.
Ga0453162|Ga0453162_0003168 E Predicted Eukaryotic  rRNA (2039 bp) From domain V5r to V5r on complementary strand	k:Eukaryota(0.5900),d:TSAR(0.2301),p:Stramenopiles-Gyrista(0.0414),c:Bacillariophyceae(0.0046),o:Bacillariales(0.0005),f:Bacillariaceae(0.0001),g:Fragilariopsis(0.0000),s:Fragilariopsis_kerguelensis(0.0000)	+	
Ga0453162|Ga0453162_0003298 E Predicted Eukaryotic  rRNA (2041 bp) From domain V5r to V5r on main strand	k:Bacteria(1.0000),d:PVC(1.0000),p:Verrucomicrobia-Verrucomicrobia_X(1.0000),c:Verrucomicrobiae(1.0000),o:Verrucomicrobiales(0.8600),f:Verrucomicrobiaceae(0.6966),g:Verrucomicrobiaceae_X(0.5642),s:Verrucomicrobiaceae_X_sp.(0.4570)	+	k:Bacteria,d:PVC,p:Verrucomicrobia-Verrucomicrobia_X,c:Verrucomicrobiae,o:Verrucomicrobiales
